"filename", "language", "JavaScript", "PHP", "XML", "CSS", "Markdown", "comment", "blank", "total"
"c:\xampp\htdocs\commerce-app\README.md", "Markdown", 0, 0, 0, 0, 23, 0, 7, 30
"c:\xampp\htdocs\commerce-app\controllers\README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 1
"c:\xampp\htdocs\commerce-app\controllers\controller_login.php", "PHP", 0, 23, 0, 0, 0, 2, 4, 29
"c:\xampp\htdocs\commerce-app\controllers\controller_payments.php", "PHP", 0, 17, 0, 0, 0, 0, 4, 21
"c:\xampp\htdocs\commerce-app\controllers\controller_products.php", "PHP", 0, 67, 0, 0, 0, 8, 15, 90
"c:\xampp\htdocs\commerce-app\controllers\controller_purchases.php", "PHP", 0, 76, 0, 0, 0, 7, 15, 98
"c:\xampp\htdocs\commerce-app\controllers\controller_signoff.php", "PHP", 0, 5, 0, 0, 0, 0, 1, 6
"c:\xampp\htdocs\commerce-app\controllers\controller_signup.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 22
"c:\xampp\htdocs\commerce-app\controllers\controller_users.php", "PHP", 0, 58, 0, 0, 0, 1, 11, 70
"c:\xampp\htdocs\commerce-app\models\connection.php", "PHP", 0, 4, 0, 0, 0, 2, 2, 8
"c:\xampp\htdocs\commerce-app\views\about.php", "PHP", 0, 115, 0, 0, 0, 0, 11, 126
"c:\xampp\htdocs\commerce-app\views\account.php", "PHP", 0, 155, 0, 0, 0, 1, 27, 183
"c:\xampp\htdocs\commerce-app\views\css\Group 27.svg", "XML", 0, 0, 14, 0, 0, 0, 1, 15
"c:\xampp\htdocs\commerce-app\views\css\person.svg", "XML", 0, 0, 14, 0, 0, 0, 1, 15
"c:\xampp\htdocs\commerce-app\views\css\styles.css", "CSS", 0, 0, 0, 817, 0, 14, 53, 884
"c:\xampp\htdocs\commerce-app\views\css\user.svg", "XML", 0, 0, 11, 0, 0, 0, 1, 12
"c:\xampp\htdocs\commerce-app\views\developer_tasks.php", "PHP", 0, 208, 0, 0, 0, 8, 39, 255
"c:\xampp\htdocs\commerce-app\views\development_tasks.php", "PHP", 0, 207, 0, 0, 0, 7, 35, 249
"c:\xampp\htdocs\commerce-app\views\index.php", "PHP", 0, 137, 0, 0, 0, 1, 28, 166
"c:\xampp\htdocs\commerce-app\views\login.php", "PHP", 0, 61, 0, 0, 0, 3, 18, 82
"c:\xampp\htdocs\commerce-app\views\payments.php", "PHP", 0, 236, 0, 0, 0, 6, 39, 281
"c:\xampp\htdocs\commerce-app\views\products.php", "PHP", 0, 203, 0, 0, 0, 5, 28, 236
"c:\xampp\htdocs\commerce-app\views\purchases.php", "PHP", 0, 187, 0, 0, 0, 5, 28, 220
"c:\xampp\htdocs\commerce-app\views\purchases_client.php", "PHP", 0, 163, 0, 0, 0, 5, 24, 192
"c:\xampp\htdocs\commerce-app\views\script.js", "JavaScript", 59, 0, 0, 0, 0, 9, 26, 94
"c:\xampp\htdocs\commerce-app\views\signup.php", "PHP", 0, 78, 0, 0, 0, 3, 21, 102
"c:\xampp\htdocs\commerce-app\views\users.php", "PHP", 0, 212, 0, 0, 0, 5, 27, 244
"Total", "-", 59, 2234, 39, 817, 24, 92, 466, 3731
